part_id,name,type,step_index,step_name,source,x,y,z,roll,pitch,yaw
92cf9ccb-73e0-4204-a6e7-eef13c3c8260,Left Arm Wedge,aluminum_arm_wedge_5mm,0,Feed Screw through Arm Wedge (A),captured,-21.359,4.5,0.0,0.0,-1.5708,0.0
3b8d1e48-6109-47fa-a12e-20c7bc89e464,Left Arm Wedge Screw,screw_m3x16_socket_cap,0,Feed Screw through Arm Wedge (A),captured,-15.0,4.5,0.0,0.0,0.0,1.5708
cb234cda-1e15-4933-b9cf-9571d4da561f,Right Arm Wedge,aluminum_arm_wedge_5mm,1,Feed Screw through Arm Wedge (B),captured,22.323,4.824,0.0,0.0,1.5708,0.0
d85dce0b-e605-4b4a-a310-3645d3b0deea,Right Arm Wedge Screw,screw_m3x16_socket_cap,1,Feed Screw through Arm Wedge (B),captured,15.0,4.5,0.0,0.0,0.0,-1.5708
33ee88b1-9980-4e0b-ade6-1052789ff327,Aluminum X-Lock,aluminum_x_lock,2,Attach Arm Wedge Assembly to X-Lock (A),captured,0.0,2.0,0.0,0.0,0.0,0.0
b4de5507-d10b-4784-bfa2-672125e804d6,Split Rear Plate,split_rear_plate,3,Place Assembly Aluminum X-Lock with Wedges on Rear Plate,captured,0.0,0.0,0.0,0.0,0.0,0.0
fce4fde7-4bd0-4b9b-81b0-c35aec9addcd,M3x22mm Pan Head Screw #1,screw_m3x22_pan,4,Feed Screw through X-Lock and Rear Plate (A),captured,15.465,-4.197,15.425,-1.5708,0.0,0.0
7b08adec-3703-453d-bb55-2e95c105edc3,M3x22mm Pan Head Screw #2,screw_m3x22_pan,5,Feed Screw through X-Lock and Rear Plate (B),captured,-15.465,-4.197,15.425,-1.5708,0.0,0.0
f11e1f6b-6093-4e03-8672-3d4dd6c751d6,M3x22mm Pan Head Screw #3,screw_m3x22_pan,6,Feed Screw through X-Lock and Rear Plate (C),captured,-15.465,-4.197,-15.425,-1.5708,0.0,0.0
ef8c0c00-0681-43bf-abd3-fd55137acd34,M3x22mm Pan Head Screw #4,screw_m3x22_pan,7,Feed Screw through X-Lock and Rear Plate (D),captured,15.465,-4.197,-15.425,-1.5708,0.0,0.0
5862866f-f049-40fb-94a9-6d3b25d45e9d,5-inch Arm #1,arm_5in,8,Insert Arm into X-Lock Assembly (A),captured,91.071,2.0,65.754,0.0,0.9599,0.0
